trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/zombie_270.wav,audio/scream_270.wav,A
PRIMING,mixed,audio/death_whistle_315.wav,audio/bear_315.wav,A
AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_45.wav,A
DIST_DIST,scream,audio/scream_90.wav,audio/scream_270.wav,A
DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A
AMBIG_AMBIG,bear,audio/bear_315.wav,audio/bear_45.wav,A
DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,A
AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_45.wav,B
AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_45.wav,B
AMBIG_DIST,bear,audio/bear_90.wav,audio/bear_180.wav,B
AMBIG_AMBIG,death_whistle,audio/death_whistle_315.wav,audio/death_whistle_0.wav,B
AMBIG_AMBIG,zombie,audio/zombie_45.wav,audio/zombie_315.wav,B
AMBIG_DIST,zombie,audio/zombie_135.wav,audio/zombie_270.wav,B
AMBIG_DIST,bear,audio/bear_225.wav,audio/bear_90.wav,A
