timestamp,elapsed_sec,gsr_raw,phase
1777620647.734293,0.028282880783081055,1353.0,baseline
1777620647.784481,0.07847094535827637,1354.0,baseline
1777620647.8343859,0.12837576866149902,1355.0,baseline
1777620647.884469,0.17845892906188965,1357.0,baseline
1777620647.9344199,0.2284097671508789,1355.0,baseline
1777620647.98452,0.27850985527038574,1353.0,baseline
1777620648.0346339,0.32862377166748047,1355.0,baseline
1777620648.08462,0.37860989570617676,1354.0,baseline
1777620648.134511,0.4285008907318115,1356.0,baseline
1777620648.184661,0.4786508083343506,1355.0,baseline
1777620648.234554,0.5285439491271973,1356.0,baseline
1777620648.284651,0.5786409378051758,1357.0,baseline
1777620648.3344378,0.6284277439117432,1355.0,baseline
1777620648.384444,0.678433895111084,1355.0,baseline
1777620648.434452,0.7284419536590576,1354.0,baseline
1777620648.484689,0.7786788940429688,1355.0,baseline
1777620648.534809,0.8287990093231201,1355.0,baseline
1777620648.5847502,0.8787400722503662,1352.0,baseline
1777620648.63488,0.9288699626922607,1348.0,baseline
1777620648.6848068,0.9787967205047607,1343.0,baseline
1777620648.734588,1.0285778045654297,1350.0,baseline
1777620648.784541,1.0785307884216309,1352.0,baseline
1777620648.834671,1.1286609172821045,1336.0,baseline
1777620648.88466,1.17864990234375,1352.0,baseline
1777620648.9348009,1.2287907600402832,1364.0,baseline
1777620648.9848251,1.2788150310516357,1363.0,baseline
1777620649.034973,1.328962802886963,1357.0,baseline
1777620649.084984,1.3789739608764648,1353.0,baseline
1777620649.134948,1.4289379119873047,1353.0,baseline
1777620649.184891,1.4788808822631836,1354.0,baseline
1777620649.2348852,1.5288751125335693,1353.0,baseline
1777620649.285013,1.579002857208252,1355.0,baseline
1777620649.335088,1.6290779113769531,1356.0,baseline
1777620649.38509,1.6790800094604492,1356.0,baseline
1777620649.4351392,1.7291290760040283,1357.0,baseline
1777620649.485182,1.7791719436645508,1357.0,baseline
1777620649.5351381,1.8291280269622803,1355.0,baseline
1777620649.5851672,1.8791570663452148,1354.0,baseline
1777620649.635236,1.9292259216308594,1352.0,baseline
1777620649.685247,1.9792368412017822,1353.0,baseline
1777620649.735285,2.0292749404907227,1354.0,baseline
1777620650.026921,0.2846641540527344,1357.0,stimulus
1777620650.027207,0.28495001792907715,1357.0,stimulus
1777620650.027276,0.2850191593170166,1356.0,stimulus
1777620650.027343,0.28508615493774414,1354.0,stimulus
1777620650.027404,0.28514719009399414,1354.0,stimulus
1777620650.0352361,0.29297924041748047,1351.0,stimulus
1777620650.085402,0.34314513206481934,1351.0,stimulus
1777620650.1353338,0.39307689666748047,1354.0,stimulus
1777620650.1854851,0.44322824478149414,1353.0,stimulus
1777620650.235457,0.49320006370544434,1353.0,stimulus
1777620650.28558,0.5433230400085449,1356.0,stimulus
1777620650.3355541,0.5932972431182861,1357.0,stimulus
1777620650.385459,0.6432020664215088,1356.0,stimulus
1777620650.435529,0.6932721138000488,1354.0,stimulus
1777620650.485597,0.743340015411377,1357.0,stimulus
1777620650.535706,0.7934491634368896,1360.0,stimulus
1777620650.58566,0.8434031009674072,1356.0,stimulus
1777620650.635607,0.8933501243591309,1355.0,stimulus
1777620650.685757,0.9435000419616699,1355.0,stimulus
1777620650.73567,0.9934132099151611,1356.0,stimulus
1777620650.785723,1.0434660911560059,1357.0,stimulus
1777620650.835843,1.0935862064361572,1355.0,stimulus
1777620650.8858051,1.1435482501983643,1355.0,stimulus
1777620650.9358468,1.1935899257659912,1356.0,stimulus
1777620650.9858,1.2435431480407715,1354.0,stimulus
1777620651.035977,1.293720006942749,1355.0,stimulus
1777620651.085803,1.3435461521148682,1355.0,stimulus
1777620651.135875,1.393618106842041,1357.0,stimulus
1777620651.1859572,1.4437003135681152,1356.0,stimulus
1777620651.235924,1.4936671257019043,1356.0,stimulus
1777620651.285942,1.5436851978302002,1355.0,stimulus
1777620651.335988,1.593731164932251,1353.0,stimulus
1777620651.385955,1.6436982154846191,1352.0,stimulus
1777620651.436043,1.6937861442565918,1352.0,stimulus
1777620651.4860091,1.7437522411346436,1353.0,stimulus
1777620651.536033,1.793776035308838,1352.0,stimulus
1777620651.586092,1.8438351154327393,1354.0,stimulus
1777620651.636101,1.8938441276550293,1355.0,stimulus
1777620651.6862059,1.9439489841461182,1355.0,stimulus
1777620651.7362251,1.9939682483673096,1356.0,stimulus
1777620651.786145,2.0438880920410156,1357.0,stimulus
1777620651.835901,2.093644142150879,1355.0,stimulus
1777620651.885955,2.143698215484619,1354.0,stimulus
1777620651.936078,2.1938211917877197,1355.0,stimulus
1777620651.986242,2.243985176086426,1354.0,stimulus
1777620652.036128,2.2938711643218994,1353.0,stimulus
1777620652.085966,2.3437092304229736,1355.0,stimulus
1777620652.1359732,2.393716335296631,1351.0,stimulus
1777620652.1860638,2.4438068866729736,1355.0,stimulus
1777620652.236093,2.4938361644744873,1353.0,stimulus
1777620652.286217,2.5439600944519043,1352.0,stimulus
1777620652.336447,2.5941901206970215,1351.0,stimulus
1777620652.386404,2.6441471576690674,1354.0,stimulus
1777620652.436193,2.6939361095428467,1356.0,stimulus
1777620652.486196,2.743939161300659,1356.0,stimulus
1777620652.536219,2.793962001800537,1355.0,stimulus
1777620652.5864582,2.8442013263702393,1354.0,stimulus
1777620652.63644,2.8941831588745117,1354.0,stimulus
1777620652.686535,2.9442780017852783,1354.0,stimulus
1777620652.736547,2.9942901134490967,1355.0,stimulus
1777620652.786527,3.0442700386047363,1352.0,stimulus
1777620652.8366,3.0943431854248047,1353.0,stimulus
1777620652.886676,3.1444191932678223,1353.0,stimulus
1777620652.93676,3.19450306892395,1353.0,stimulus
1777620652.986644,3.244387149810791,1356.0,stimulus
1777620653.0368068,3.2945499420166016,1353.0,stimulus
1777620653.0868459,3.3445889949798584,1353.0,stimulus
1777620653.1369128,3.39465594291687,1355.0,stimulus
1777620653.1868742,3.44461727142334,1355.0,stimulus
1777620653.236894,3.4946370124816895,1355.0,stimulus
1777620653.286901,3.5446441173553467,1357.0,stimulus
1777620653.33694,3.5946831703186035,1356.0,stimulus
1777620653.38684,3.644583225250244,1355.0,stimulus
1777620653.437004,3.69474720954895,1356.0,stimulus
1777620653.4869592,3.7447023391723633,1356.0,stimulus
1777620653.536893,3.7946360111236572,1353.0,stimulus
1777620653.586945,3.8446881771087646,1352.0,stimulus
1777620653.637006,3.894749164581299,1353.0,stimulus
1777620653.686993,3.9447360038757324,1354.0,stimulus
1777620653.737012,3.9947550296783447,1353.0,stimulus
1777620653.787106,4.044849157333374,1352.0,stimulus
1777620653.8370602,4.094803333282471,1352.0,stimulus
1777620653.887176,4.144919157028198,1352.0,stimulus
1777620653.9371362,4.1948792934417725,1353.0,stimulus
1777620653.987127,4.244870185852051,1356.0,stimulus
1777620654.037168,4.29491114616394,1353.0,stimulus
1777620654.0872488,4.34499192237854,1356.0,stimulus
1777620654.13731,4.395053148269653,1357.0,stimulus
1777620654.1873002,4.445043325424194,1353.0,stimulus
1777620654.23721,4.494953155517578,1352.0,stimulus
1777620654.287315,4.545058012008667,1353.0,stimulus
1777620654.337358,4.5951011180877686,1357.0,stimulus
1777620654.387337,4.645080089569092,1355.0,stimulus
1777620654.4373918,4.695134878158569,1356.0,stimulus
1777620654.487307,4.7450501918792725,1353.0,stimulus
1777620654.5373921,4.795135259628296,1354.0,stimulus
1777620654.587373,4.845116138458252,1354.0,stimulus
1777620654.637467,4.895210027694702,1353.0,stimulus
1777620654.687385,4.9451282024383545,1354.0,stimulus
1777620654.737464,4.995207071304321,1355.0,stimulus
1777620654.787456,5.045199155807495,1352.0,stimulus
1777620654.837575,5.095318078994751,1353.0,stimulus
1777620654.88752,5.145263195037842,1354.0,stimulus
1777620654.937541,5.195284128189087,1354.0,stimulus
1777620654.987596,5.2453391551971436,1355.0,stimulus
1777620655.037599,5.295342206954956,1355.0,stimulus
1777620655.087616,5.3453590869903564,1355.0,stimulus
1777620655.1375859,5.395328998565674,1355.0,stimulus
1777620655.187666,5.445409059524536,1352.0,stimulus
1777620655.2375848,5.495327949523926,1351.0,stimulus
1777620655.2876968,5.545439958572388,1353.0,stimulus
1777620655.3377569,5.5954999923706055,1354.0,stimulus
1777620655.3878982,5.645641326904297,1354.0,stimulus
1777620655.4378922,5.6956353187561035,1352.0,stimulus
1777620655.4879181,5.74566125869751,1353.0,stimulus
1777620655.537805,5.7955482006073,1351.0,stimulus
1777620655.5878851,5.845628261566162,1354.0,stimulus
1777620655.637828,5.895571231842041,1354.0,stimulus
1777620655.687822,5.945565223693848,1355.0,stimulus
1777620655.737823,5.995566129684448,1355.0,stimulus
1777620655.787999,6.045742034912109,1355.0,stimulus
1777620655.837982,6.095725059509277,1355.0,stimulus
1777620655.9679801,0.0002460479736328125,1350.0,post
1777620655.968102,0.00036787986755371094,1354.0,post
1777620655.98796,0.020226001739501953,1353.0,post
1777620656.038002,0.07026791572570801,1353.0,post
1777620656.0878599,0.12012577056884766,1354.0,post
1777620656.138138,0.17040395736694336,1353.0,post
1777620656.18828,0.22054600715637207,1355.0,post
1777620656.2381551,0.27042102813720703,1352.0,post
1777620656.288259,0.3205249309539795,1353.0,post
1777620656.3383229,0.3705887794494629,1352.0,post
1777620656.388227,0.42049288749694824,1353.0,post
1777620656.438289,0.47055482864379883,1352.0,post
1777620656.4883158,0.5205817222595215,1351.0,post
1777620656.53835,0.5706160068511963,1353.0,post
1777620656.588354,0.6206200122833252,1355.0,post
1777620656.638331,0.6705968379974365,1355.0,post
1777620656.6882198,0.7204856872558594,1358.0,post
1777620656.7382588,0.7705247402191162,1354.0,post
1777620656.788398,0.8206639289855957,1354.0,post
1777620656.838481,0.8707468509674072,1355.0,post
1777620656.88858,0.9208459854125977,1354.0,post
1777620656.938565,0.9708309173583984,1354.0,post
1777620656.988541,1.0208067893981934,1355.0,post
1777620657.0386271,1.0708930492401123,1355.0,post
1777620657.088589,1.1208548545837402,1358.0,post
1777620657.1386611,1.1709270477294922,1355.0,post
1777620657.188627,1.2208929061889648,1353.0,post
1777620657.238702,1.270967960357666,1342.0,post
1777620657.2887082,1.3209741115570068,1349.0,post
1777620657.338687,1.370952844619751,1354.0,post
1777620657.388787,1.4210529327392578,1353.0,post
1777620657.4387589,1.471024751663208,1354.0,post
1777620657.488836,1.521101951599121,1355.0,post
1777620657.538717,1.5709829330444336,1353.0,post
1777620657.5888908,1.6211566925048828,1354.0,post
1777620657.638738,1.671003818511963,1355.0,post
1777620657.688871,1.7211368083953857,1355.0,post
1777620657.738683,1.770948886871338,1353.0,post
1777620657.788925,1.8211908340454102,1354.0,post
1777620657.8389661,1.871232032775879,1355.0,post
1777620657.889002,1.9212679862976074,1353.0,post
1777620657.938905,1.9711709022521973,1353.0,post
1777620657.98908,2.021345853805542,1352.0,post
