trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/death_whistle_90.wav,audio/scream_90.wav,B
PRIMING,mixed,audio/death_whistle_315.wav,audio/white_noise_315.wav,A
AMBIG_AMBIG,zombie,audio/zombie_315.wav,audio/zombie_225.wav,B
AMBIG_DIST,white_noise,audio/white_noise_315.wav,audio/white_noise_90.wav,A
AMBIG_DIST,tiger,audio/tiger_270.wav,audio/tiger_45.wav,B
AMBIG_AMBIG,zombie,audio/zombie_225.wav,audio/zombie_180.wav,B
DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,B
AMBIG_AMBIG,scream,audio/scream_135.wav,audio/scream_0.wav,B
AMBIG_DIST,bear,audio/bear_90.wav,audio/bear_180.wav,A
AMBIG_DIST,death_whistle,audio/death_whistle_135.wav,audio/death_whistle_90.wav,A
AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_225.wav,B
AMBIG_DIST,tiger,audio/tiger_270.wav,audio/tiger_0.wav,B
DIST_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,B
DIST_DIST,zombie,audio/zombie_270.wav,audio/zombie_90.wav,A
