trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/death_whistle_270.wav,audio/zombie_270.wav,A
PRIMING,mixed,audio/zombie_135.wav,audio/white_noise_135.wav,B
DIST_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_270.wav,B
AMBIG_AMBIG,bear,audio/bear_135.wav,audio/bear_225.wav,A
AMBIG_DIST,white_noise,audio/white_noise_45.wav,audio/white_noise_90.wav,A
AMBIG_DIST,scream,audio/scream_315.wav,audio/scream_270.wav,A
DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B
AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_315.wav,B
DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A
AMBIG_AMBIG,zombie,audio/zombie_315.wav,audio/zombie_135.wav,B
AMBIG_DIST,scream,audio/scream_180.wav,audio/scream_90.wav,A
AMBIG_DIST,white_noise,audio/white_noise_0.wav,audio/white_noise_90.wav,A
AMBIG_AMBIG,white_noise,audio/white_noise_315.wav,audio/white_noise_135.wav,B
AMBIG_DIST,scream,audio/scream_225.wav,audio/scream_270.wav,A
