trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/zombie_315.wav,audio/scream_315.wav,A
PRIMING,mixed,audio/scream_315.wav,audio/zombie_315.wav,A
AMBIG_AMBIG,zombie,audio/zombie_315.wav,audio/zombie_180.wav,A
AMBIG_AMBIG,bear,audio/bear_225.wav,audio/bear_315.wav,B
DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,A
DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,B
AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_315.wav,B
DIST_DIST,tiger,audio/tiger_270.wav,audio/tiger_90.wav,B
AMBIG_AMBIG,white_noise,audio/white_noise_180.wav,audio/white_noise_0.wav,B
AMBIG_DIST,bear,audio/bear_315.wav,audio/bear_270.wav,B
AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_180.wav,A
AMBIG_DIST,zombie,audio/zombie_0.wav,audio/zombie_90.wav,B
AMBIG_DIST,scream,audio/scream_315.wav,audio/scream_90.wav,A
AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_225.wav,B
