timestamp,elapsed_sec,gsr_raw,phase
1777619973.542183,0.0061299800872802734,1367.0,baseline
1777619973.5923672,0.05631422996520996,1367.0,baseline
1777619973.6422799,0.10622692108154297,1367.0,baseline
1777619973.692323,0.15627002716064453,1367.0,baseline
1777619973.742316,0.20626306533813477,1369.0,baseline
1777619973.792373,0.2563199996948242,1370.0,baseline
1777619973.842368,0.30631494522094727,1365.0,baseline
1777619973.89251,0.356456995010376,1366.0,baseline
1777619973.942494,0.40644097328186035,1365.0,baseline
1777619973.9924722,0.4564192295074463,1365.0,baseline
1777619974.042421,0.5063681602478027,1364.0,baseline
1777619974.092452,0.5563991069793701,1364.0,baseline
1777619974.142349,0.6062960624694824,1363.0,baseline
1777619974.1924999,0.6564469337463379,1364.0,baseline
1777619974.242465,0.7064120769500732,1364.0,baseline
1777619974.292589,0.7565360069274902,1367.0,baseline
1777619974.342651,0.8065979480743408,1368.0,baseline
1777619974.392593,0.8565399646759033,1368.0,baseline
1777619974.4426072,0.9065542221069336,1366.0,baseline
1777619974.492651,0.9565980434417725,1368.0,baseline
1777619974.542785,1.0067319869995117,1370.0,baseline
1777619974.592809,1.0567560195922852,1367.0,baseline
1777619974.642761,1.10670804977417,1366.0,baseline
1777619974.692811,1.1567580699920654,1366.0,baseline
1777619974.742849,1.2067961692810059,1368.0,baseline
1777619974.792812,1.2567591667175293,1368.0,baseline
1777619974.842732,1.3066790103912354,1369.0,baseline
1777619974.892672,1.356619119644165,1366.0,baseline
1777619974.94276,1.4067070484161377,1365.0,baseline
1777619974.992776,1.4567229747772217,1365.0,baseline
1777619975.042773,1.5067200660705566,1367.0,baseline
1777619975.092695,1.5566420555114746,1367.0,baseline
1777619975.142773,1.606719970703125,1367.0,baseline
1777619975.192731,1.6566779613494873,1367.0,baseline
1777619975.24283,1.7067770957946777,1371.0,baseline
1777619975.2928178,1.7567648887634277,1370.0,baseline
1777619975.3428779,1.8068249225616455,1368.0,baseline
1777619975.393023,1.8569700717926025,1365.0,baseline
1777619975.443079,1.9070260524749756,1364.0,baseline
1777619975.493139,1.9570860862731934,1367.0,baseline
1777619975.543249,2.0071959495544434,1367.0,baseline
1777619975.8719418,0.32089972496032715,1367.0,stimulus
1777619975.871978,0.3209359645843506,1368.0,stimulus
1777619975.872003,0.32096099853515625,1367.0,stimulus
1777619975.872034,0.32099199295043945,1367.0,stimulus
1777619975.872211,0.3211688995361328,1370.0,stimulus
1777619975.8722408,0.3211987018585205,1370.0,stimulus
1777619975.893271,0.34222888946533203,1367.0,stimulus
1777619975.943378,0.3923358917236328,1363.0,stimulus
1777619975.9933598,0.4423177242279053,1361.0,stimulus
1777619976.0435042,0.492462158203125,1363.0,stimulus
1777619976.09345,0.5424079895019531,1363.0,stimulus
1777619976.143507,0.5924649238586426,1364.0,stimulus
1777619976.193517,0.642474889755249,1366.0,stimulus
1777619976.243577,0.6925349235534668,1368.0,stimulus
1777619976.2935748,0.7425327301025391,1367.0,stimulus
1777619976.3435788,0.792536735534668,1365.0,stimulus
1777619976.3934689,0.8424267768859863,1365.0,stimulus
1777619976.443717,0.8926749229431152,1366.0,stimulus
1777619976.493529,0.9424870014190674,1368.0,stimulus
1777619976.5436301,0.9925880432128906,1365.0,stimulus
1777619976.593668,1.042625904083252,1368.0,stimulus
1777619976.643723,1.0926809310913086,1370.0,stimulus
1777619976.693671,1.1426289081573486,1369.0,stimulus
1777619976.7438478,1.1928057670593262,1367.0,stimulus
1777619976.793747,1.2427048683166504,1367.0,stimulus
1777619976.843816,1.292773962020874,1365.0,stimulus
1777619976.8936582,1.342616081237793,1367.0,stimulus
1777619976.943721,1.39267897605896,1368.0,stimulus
1777619976.99378,1.4427378177642822,1366.0,stimulus
1777619977.043794,1.4927518367767334,1365.0,stimulus
1777619977.093879,1.5428369045257568,1366.0,stimulus
1777619977.1439738,1.5929317474365234,1366.0,stimulus
1777619977.193964,1.6429219245910645,1369.0,stimulus
1777619977.2439501,1.6929080486297607,1366.0,stimulus
1777619977.294071,1.7430288791656494,1366.0,stimulus
1777619977.343999,1.792956829071045,1365.0,stimulus
1777619977.39409,1.843047857284546,1365.0,stimulus
1777619977.444156,1.8931138515472412,1365.0,stimulus
1777619977.494064,1.9430220127105713,1368.0,stimulus
1777619977.544127,1.9930849075317383,1368.0,stimulus
1777619977.5942779,2.0432357788085938,1367.0,stimulus
1777619977.644146,2.0931038856506348,1366.0,stimulus
1777619977.694101,2.143059015274048,1368.0,stimulus
1777619977.7441752,2.1931331157684326,1369.0,stimulus
1777619977.7942688,2.2432267665863037,1369.0,stimulus
1777619977.844234,2.293191909790039,1368.0,stimulus
1777619977.8942678,2.3432257175445557,1369.0,stimulus
1777619977.944347,2.3933048248291016,1368.0,stimulus
1777619977.9943821,2.4433400630950928,1366.0,stimulus
1777619978.0443342,2.4932920932769775,1366.0,stimulus
1777619978.094371,2.5433290004730225,1364.0,stimulus
1777619978.1445172,2.593475103378296,1365.0,stimulus
1777619978.194487,2.6434450149536133,1365.0,stimulus
1777619978.244404,2.69336199760437,1367.0,stimulus
1777619978.29439,2.7433478832244873,1366.0,stimulus
1777619978.344322,2.7932798862457275,1367.0,stimulus
1777619978.3944871,2.843445062637329,1368.0,stimulus
1777619978.444577,2.8935348987579346,1367.0,stimulus
1777619978.494596,2.943553924560547,1366.0,stimulus
1777619978.5445929,2.9935507774353027,1365.0,stimulus
1777619978.594651,3.0436089038848877,1367.0,stimulus
1777619978.644724,3.093681812286377,1366.0,stimulus
1777619978.69462,3.143577814102173,1365.0,stimulus
1777619978.744718,3.193675994873047,1365.0,stimulus
1777619978.7947252,3.243683099746704,1364.0,stimulus
1777619978.844782,3.2937400341033936,1365.0,stimulus
1777619978.894721,3.3436789512634277,1368.0,stimulus
1777619978.9447942,3.393752098083496,1372.0,stimulus
1777619978.994825,3.4437828063964844,1368.0,stimulus
1777619979.044872,3.4938299655914307,1367.0,stimulus
1777619979.094871,3.5438289642333984,1368.0,stimulus
1777619979.144904,3.5938618183135986,1367.0,stimulus
1777619979.194877,3.6438348293304443,1368.0,stimulus
1777619979.244917,3.6938748359680176,1367.0,stimulus
1777619979.294903,3.743860960006714,1365.0,stimulus
1777619979.344969,3.793926954269409,1367.0,stimulus
1777619979.394878,3.8438358306884766,1367.0,stimulus
1777619979.4449768,3.893934726715088,1366.0,stimulus
1777619979.4950678,3.944025754928589,1366.0,stimulus
1777619979.545079,3.994036912918091,1369.0,stimulus
1777619979.595113,4.0440709590911865,1367.0,stimulus
1777619979.645163,4.094120979309082,1368.0,stimulus
1777619979.775079,0.0002551078796386719,1367.0,post
1777619979.775208,0.0003840923309326172,1368.0,post
1777619979.7951071,0.020283222198486328,1365.0,post
1777619979.845124,0.07030010223388672,1364.0,post
1777619979.8949602,0.12013626098632812,1361.0,post
1777619979.945102,0.17027807235717773,1362.0,post
1777619979.995331,0.22050714492797852,1363.0,post
1777619980.045284,0.2704601287841797,1365.0,post
1777619980.095349,0.3205251693725586,1365.0,post
1777619980.145364,0.37054014205932617,1366.0,post
1777619980.195426,0.42060208320617676,1368.0,post
1777619980.245148,0.4703240394592285,1365.0,post
1777619980.295467,0.5206429958343506,1363.0,post
1777619980.345385,0.5705611705780029,1362.0,post
1777619980.3955462,0.6207222938537598,1364.0,post
1777619980.445388,0.6705641746520996,1366.0,post
1777619980.495459,0.720635175704956,1366.0,post
1777619980.545559,0.7707350254058838,1366.0,post
1777619980.595467,0.8206431865692139,1367.0,post
1777619980.6456032,0.870779275894165,1365.0,post
1777619980.6955369,0.920712947845459,1367.0,post
1777619980.745599,0.9707751274108887,1366.0,post
1777619980.795607,1.0207831859588623,1366.0,post
1777619980.845675,1.0708510875701904,1369.0,post
1777619980.895624,1.1208000183105469,1367.0,post
1777619980.945688,1.1708641052246094,1365.0,post
1777619980.995718,1.2208940982818604,1367.0,post
1777619981.0457962,1.2709722518920898,1366.0,post
1777619981.095836,1.321012020111084,1366.0,post
1777619981.1457431,1.3709192276000977,1365.0,post
1777619981.195887,1.4210631847381592,1361.0,post
1777619981.2455711,1.4707472324371338,1366.0,post
1777619981.295881,1.52105712890625,1367.0,post
1777619981.345819,1.5709950923919678,1366.0,post
1777619981.395966,1.6211421489715576,1367.0,post
1777619981.4458911,1.671067237854004,1365.0,post
1777619981.4959512,1.7211272716522217,1363.0,post
1777619981.546005,1.7711811065673828,1362.0,post
1777619981.596079,1.8212552070617676,1362.0,post
1777619981.646029,1.8712050914764404,1366.0,post
1777619981.695901,1.921077013015747,1369.0,post
