timestamp,elapsed_sec,gsr_raw,phase
1777616924.835739,0.00017070770263671875,1278.0,baseline
1777616924.835816,0.00024771690368652344,1279.0,baseline
1777616924.835886,0.0003178119659423828,1278.0,baseline
1777616924.835953,0.0003848075866699219,1278.0,baseline
1777616924.83602,0.00045180320739746094,1278.0,baseline
1777616924.836087,0.000518798828125,1280.0,baseline
1777616924.8361542,0.0005860328674316406,1278.0,baseline
1777616924.836221,0.0006527900695800781,1278.0,baseline
1777616924.836288,0.0007197856903076172,1279.0,baseline
1777616924.836354,0.00078582763671875,1279.0,baseline
1777616924.83642,0.0008518695831298828,1280.0,baseline
1777616924.8364859,0.0009176731109619141,1279.0,baseline
1777616924.8365529,0.0009846687316894531,1280.0,baseline
1777616924.83662,0.0010519027709960938,1281.0,baseline
1777616924.8366861,0.0011179447174072266,1280.0,baseline
1777616924.836752,0.0011837482452392578,1282.0,baseline
1777616924.836819,0.0012507438659667969,1281.0,baseline
1777616924.836885,0.0013167858123779297,1282.0,baseline
1777616924.83695,0.0013818740844726562,1279.0,baseline
1777616924.837016,0.001447916030883789,1279.0,baseline
1777616924.8370812,0.0015130043029785156,1280.0,baseline
1777616924.837148,0.0015797615051269531,1279.0,baseline
1777616924.837214,0.001645803451538086,1279.0,baseline
1777616924.837279,0.0017108917236328125,1277.0,baseline
1777616924.8373451,0.0017769336700439453,1276.0,baseline
1777616924.8374112,0.0018429756164550781,1279.0,baseline
1777616924.8374772,0.001909017562866211,1278.0,baseline
1777616924.8375418,0.0019736289978027344,1280.0,baseline
1777616924.8376079,0.002039670944213867,1278.0,baseline
1777616924.837673,0.0021047592163085938,1278.0,baseline
1777616924.837738,0.0021698474884033203,1279.0,baseline
1777616924.837804,0.002235889434814453,1279.0,baseline
1777616924.837885,0.002316713333129883,1280.0,baseline
1777616924.8379588,0.002390623092651367,1279.0,baseline
1777616924.838024,0.0024557113647460938,1278.0,baseline
1777616924.838091,0.002522706985473633,1280.0,baseline
1777616924.838156,0.0025877952575683594,1276.0,baseline
1777616924.8382232,0.002655029296875,1278.0,baseline
1777616924.8382878,0.0027196407318115234,1277.0,baseline
1777616924.8383539,0.0027856826782226562,1276.0,baseline
1777616924.8384352,0.002866983413696289,1279.0,baseline
1777616924.8385012,0.002933025360107422,1279.0,baseline
1777616924.838567,0.002998828887939453,1279.0,baseline
1777616924.838633,0.003064870834350586,1277.0,baseline
1777616924.838699,0.0031309127807617188,1276.0,baseline
1777616924.8387651,0.0031969547271728516,1280.0,baseline
1777616924.8388312,0.0032629966735839844,1282.0,baseline
1777616924.838897,0.0033288002014160156,1281.0,baseline
1777616924.838963,0.0033948421478271484,1281.0,baseline
1777616924.839028,0.0034596920013427734,1279.0,baseline
1777616924.839094,0.0035257339477539062,1278.0,baseline
1777616924.83916,0.003591775894165039,1279.0,baseline
1777616924.839226,0.003657817840576172,1281.0,baseline
1777616924.8392918,0.003723621368408203,1277.0,baseline
