trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/bear_315.wav,audio/white_noise_315.wav,B
PRIMING,mixed,audio/tiger_180.wav,audio/zombie_180.wav,B
AMBIG_AMBIG,white_noise,audio/white_noise_135.wav,audio/white_noise_45.wav,B
AMBIG_DIST,zombie,audio/zombie_315.wav,audio/zombie_270.wav,A
AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_180.wav,B
AMBIG_DIST,white_noise,audio/white_noise_180.wav,audio/white_noise_270.wav,A
DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,B
AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_180.wav,B
AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_0.wav,B
DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,A
AMBIG_AMBIG,bear,audio/bear_135.wav,audio/bear_45.wav,B
AMBIG_DIST,bear,audio/bear_180.wav,audio/bear_270.wav,A
AMBIG_AMBIG,tiger,audio/tiger_0.wav,audio/tiger_315.wav,A
DIST_DIST,scream,audio/scream_90.wav,audio/scream_270.wav,A
