trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/zombie_225.wav,audio/scream_225.wav,B
PRIMING,mixed,audio/white_noise_270.wav,audio/bear_270.wav,B
DIST_DIST,tiger,audio/tiger_270.wav,audio/tiger_90.wav,A
AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_225.wav,B
AMBIG_AMBIG,tiger,audio/tiger_315.wav,audio/tiger_135.wav,A
AMBIG_AMBIG,scream,audio/scream_180.wav,audio/scream_135.wav,A
AMBIG_AMBIG,bear,audio/bear_315.wav,audio/bear_135.wav,B
AMBIG_DIST,tiger,audio/tiger_90.wav,audio/tiger_180.wav,A
DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,A
AMBIG_DIST,zombie,audio/zombie_90.wav,audio/zombie_225.wav,B
AMBIG_DIST,tiger,audio/tiger_45.wav,audio/tiger_270.wav,A
AMBIG_DIST,bear,audio/bear_135.wav,audio/bear_270.wav,A
DIST_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_90.wav,B
AMBIG_DIST,white_noise,audio/white_noise_135.wav,audio/white_noise_270.wav,A
