participant,participant_index,has_gsr,trial,type,sound,file_A,file_B,choice,A_delta,B_delta,phys_choice,match
20260501_001734_3,2,True,14,AMBIG_AMBIG,zombie,audio/zombie_45.wav,audio/zombie_315.wav,B,6.585365853658459,6.585365853658459,B,True
20260501_003029_4,3,True,1,PRIMING,mixed,audio/zombie_270.wav,audio/scream_270.wav,A,0.8809953584320738,0.8809953584320738,B,False
20260501_003029_4,3,True,2,PRIMING,mixed,audio/death_whistle_315.wav,audio/bear_315.wav,A,3.024390243902417,3.024390243902417,B,False
20260501_003029_4,3,True,3,AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_45.wav,A,5.439024390243958,5.439024390243958,B,False
20260501_003029_4,3,True,4,DIST_DIST,scream,audio/scream_90.wav,audio/scream_270.wav,A,3.560975609756042,5.243902439024396,B,False
20260501_003029_4,3,True,5,DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,5.7073170731707705,13.07317073170725,B,False
20260501_003029_4,3,True,6,AMBIG_AMBIG,bear,audio/bear_315.wav,audio/bear_45.wav,A,8.29268292682923,8.29268292682923,B,False
20260501_003029_4,3,True,7,DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,A,6.024390243902417,6.024390243902417,B,False
20260501_003029_4,3,True,8,AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_45.wav,B,4.829268292682855,4.829268292682855,B,True
20260501_003029_4,3,True,9,AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_45.wav,B,14.36585365853648,14.36585365853648,B,True
20260501_003029_4,3,True,10,AMBIG_DIST,bear,audio/bear_90.wav,audio/bear_180.wav,B,4.658536585365937,4.658536585365937,B,True
20260501_003029_4,3,True,11,AMBIG_AMBIG,death_whistle,audio/death_whistle_315.wav,audio/death_whistle_0.wav,B,16.450000000000045,16.450000000000045,B,True
20260501_003029_4,3,True,12,AMBIG_AMBIG,zombie,audio/zombie_45.wav,audio/zombie_315.wav,B,4.512195121951208,4.512195121951208,B,True
20260501_003029_4,3,True,13,AMBIG_DIST,zombie,audio/zombie_135.wav,audio/zombie_270.wav,B,15.63414634146352,15.63414634146352,B,True
20260501_003029_4,3,True,14,AMBIG_DIST,bear,audio/bear_225.wav,audio/bear_90.wav,A,7.2926829268292295,7.2926829268292295,B,False
20260501_035555_5,4,True,1,PRIMING,mixed,audio/zombie_315.wav,audio/scream_315.wav,A,4.390243902439124,4.390243902439124,B,False
20260501_035555_5,4,True,2,PRIMING,mixed,audio/scream_315.wav,audio/zombie_315.wav,A,61.22222222222217,5.0731707317072505,A,True
20260501_035555_5,4,True,3,AMBIG_AMBIG,zombie,audio/zombie_315.wav,audio/zombie_180.wav,A,3.878048780487916,3.878048780487916,B,False
20260501_035555_5,4,True,4,AMBIG_AMBIG,bear,audio/bear_225.wav,audio/bear_315.wav,B,3.390243902439124,3.390243902439124,B,True
20260501_035555_5,4,True,5,DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,A,3.658536585365937,3.658536585365937,B,False
20260501_035555_5,4,True,6,DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,B,4.560975609756042,4.560975609756042,B,True
20260501_035555_5,4,True,7,AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_315.wav,B,1.7317073170731874,4.341463414634063,B,True
20260501_035555_5,4,True,8,DIST_DIST,tiger,audio/tiger_270.wav,audio/tiger_90.wav,B,3.4878048780487916,3.4878048780487916,B,True
20260501_035555_5,4,True,9,AMBIG_AMBIG,white_noise,audio/white_noise_180.wav,audio/white_noise_0.wav,B,3.439024390243958,3.439024390243958,B,True
20260501_035555_5,4,True,10,AMBIG_DIST,bear,audio/bear_315.wav,audio/bear_270.wav,B,3.8292682926828547,3.8292682926828547,B,True
20260501_035555_5,4,True,11,AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_180.wav,A,3.9024390243903326,2.2926829268292295,A,True
20260501_035555_5,4,True,12,AMBIG_DIST,zombie,audio/zombie_0.wav,audio/zombie_90.wav,B,6.195121951219562,6.195121951219562,B,True
20260501_035555_5,4,True,13,AMBIG_DIST,scream,audio/scream_315.wav,audio/scream_90.wav,A,5.463414634146375,5.463414634146375,B,False
20260501_035555_5,4,True,14,AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_225.wav,B,3.0731707317072505,4.097560975609667,B,True
20260509_163714_6,5,True,1,PRIMING,mixed,audio/tiger_45.wav,audio/white_noise_45.wav,B,1.3170731707318737,2.1951219512193347,B,True
20260509_163714_6,5,True,2,PRIMING,mixed,audio/death_whistle_315.wav,audio/bear_315.wav,A,2.26829268292704,2.26829268292704,B,False
20260509_163714_6,5,True,3,AMBIG_AMBIG,zombie,audio/zombie_45.wav,audio/zombie_225.wav,A,1.2314049586775582,1.2314049586775582,B,False
20260509_163714_6,5,True,4,AMBIG_DIST,tiger,audio/tiger_90.wav,audio/tiger_45.wav,B,1.1219512195120842,1.1219512195120842,B,True
20260509_163714_6,5,True,5,DIST_DIST,zombie,audio/zombie_270.wav,audio/zombie_90.wav,A,1.26829268292704,1.26829268292704,B,False
20260509_163714_6,5,True,6,AMBIG_DIST,death_whistle,audio/death_whistle_180.wav,audio/death_whistle_90.wav,A,2.26829268292704,2.26829268292704,B,False
20260509_163714_6,5,True,7,AMBIG_AMBIG,white_noise,audio/white_noise_0.wav,audio/white_noise_225.wav,A,1.2195121951217516,2.2439024390241684,B,False
20260509_163714_6,5,True,8,AMBIG_DIST,scream,audio/scream_180.wav,audio/scream_90.wav,B,0.9756097560975832,0.9756097560975832,B,True
20260509_163714_6,5,True,9,AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_45.wav,B,1.0731707317072505,1.0731707317072505,B,True
20260509_163714_6,5,True,10,DIST_DIST,bear,audio/bear_270.wav,audio/bear_90.wav,B,1.0243902439024168,1.0243902439024168,B,True
20260509_163714_6,5,True,11,AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_225.wav,B,0.9512195121951663,0.9512195121951663,B,True
20260509_163714_6,5,True,12,AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_0.wav,B,-10.975609756097583,-10.975609756097583,B,True
20260509_163714_6,5,True,13,AMBIG_AMBIG,white_noise,audio/white_noise_180.wav,audio/white_noise_315.wav,A,98.70731707317054,98.70731707317054,B,False
20260509_163714_6,5,True,14,DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B,1.1951219512193347,1.1951219512193347,B,True
20260509_165613_7,6,True,1,PRIMING,mixed,audio/scream_270.wav,audio/death_whistle_270.wav,B,0.7539308176101258,1.7073170731705432,B,True
20260509_165613_7,6,True,2,PRIMING,mixed,audio/white_noise_90.wav,audio/bear_90.wav,A,0.7804878048782484,0.7804878048782484,B,False
20260509_165613_7,6,True,3,AMBIG_DIST,bear,audio/bear_90.wav,audio/bear_315.wav,B,0.9024390243903326,0.9024390243903326,B,True
20260509_165613_7,6,True,4,AMBIG_DIST,bear,audio/bear_270.wav,audio/bear_180.wav,B,1.8048780487806653,1.8048780487806653,B,True
20260509_165613_7,6,True,5,DIST_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,1.7073170731705432,1.7073170731705432,B,False
20260509_165613_7,6,True,6,AMBIG_DIST,death_whistle,audio/death_whistle_225.wav,audio/death_whistle_90.wav,A,1.7804878048782484,1.7804878048782484,B,False
20260509_165613_7,6,True,7,AMBIG_AMBIG,death_whistle,audio/death_whistle_135.wav,audio/death_whistle_0.wav,B,1.7804878048782484,1.7804878048782484,B,True
20260509_165613_7,6,True,8,AMBIG_DIST,bear,audio/bear_270.wav,audio/bear_315.wav,A,0.585365853658459,0.585365853658459,B,False
20260509_165613_7,6,True,9,DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B,1.829268292683082,1.829268292683082,B,True
20260509_165613_7,6,True,10,AMBIG_DIST,death_whistle,audio/death_whistle_225.wav,audio/death_whistle_270.wav,A,0.7560975609758316,0.7560975609758316,B,False
20260509_165613_7,6,True,11,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A,1.7560975609758316,1.7560975609758316,B,False
20260509_165613_7,6,True,12,AMBIG_AMBIG,tiger,audio/tiger_315.wav,audio/tiger_180.wav,A,1.6829268292681263,1.6829268292681263,B,False
20260509_165613_7,6,True,13,AMBIG_AMBIG,death_whistle,audio/death_whistle_0.wav,audio/death_whistle_45.wav,A,1.7073170731705432,1.6585365853657095,A,True
20260509_165613_7,6,True,14,AMBIG_DIST,zombie,audio/zombie_315.wav,audio/zombie_90.wav,B,1.7804878048782484,1.7804878048782484,B,True
20260510_222645_8,7,True,1,PRIMING,mixed,audio/scream_90.wav,audio/bear_90.wav,A,1.560975609756042,1.560975609756042,B,False
20260510_222645_8,7,True,2,PRIMING,mixed,audio/zombie_225.wav,audio/death_whistle_225.wav,B,1.560975609756042,1.560975609756042,B,True
20260510_222645_8,7,True,3,DIST_DIST,zombie,audio/zombie_270.wav,audio/zombie_90.wav,A,-21.829268292683082,-21.829268292683082,B,False
20260510_222645_8,7,True,4,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A,-23.34146341463429,-23.34146341463429,B,False
20260510_222645_8,7,True,5,AMBIG_DIST,scream,audio/scream_180.wav,audio/scream_90.wav,A,-12.804878048780665,-12.804878048780665,B,False
20260510_222645_8,7,True,6,DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,-4.682926829268126,-9.682926829268126,A,True
20260510_222645_8,7,True,7,AMBIG_DIST,tiger,audio/tiger_225.wav,audio/tiger_90.wav,A,-4.707317073170543,-4.707317073170543,B,False
20260510_222645_8,7,True,8,AMBIG_DIST,bear,audio/bear_225.wav,audio/bear_90.wav,A,8.92682926829275,8.92682926829275,B,False
20260510_222645_8,7,True,9,AMBIG_DIST,death_whistle,audio/death_whistle_180.wav,audio/death_whistle_270.wav,A,77.12195121951208,77.12195121951208,B,False
20260510_222645_8,7,True,10,AMBIG_AMBIG,zombie,audio/zombie_0.wav,audio/zombie_225.wav,A,-8.487804878048792,-8.487804878048792,B,False
20260510_222645_8,7,True,11,AMBIG_AMBIG,zombie,audio/zombie_0.wav,audio/zombie_135.wav,A,11.512195121951208,11.512195121951208,B,False
20260510_222645_8,7,True,12,AMBIG_DIST,zombie,audio/zombie_90.wav,audio/zombie_315.wav,B,4.682926829268354,4.682926829268354,B,True
20260510_222645_8,7,True,13,AMBIG_DIST,death_whistle,audio/death_whistle_0.wav,audio/death_whistle_90.wav,B,-5.048780487804834,24.390243902439124,B,True
20260510_222645_8,7,True,14,AMBIG_AMBIG,bear,audio/bear_0.wav,audio/bear_45.wav,B,3.658536585365937,3.658536585365937,B,True
20260510_223607_9,8,True,1,PRIMING,mixed,audio/zombie_270.wav,audio/death_whistle_270.wav,A,1.5657894736841627,1.5657894736841627,B,False
20260510_223607_9,8,True,2,PRIMING,mixed,audio/bear_90.wav,audio/zombie_90.wav,B,1.414634146341541,1.414634146341541,B,True
20260510_223607_9,8,True,3,AMBIG_AMBIG,white_noise,audio/white_noise_225.wav,audio/white_noise_135.wav,B,0.36585365853670737,1.6341463414632926,B,True
20260510_223607_9,8,True,4,DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,A,0.46341463414637474,1.560975609756042,B,False
20260510_223607_9,8,True,5,AMBIG_DIST,zombie,audio/zombie_90.wav,audio/zombie_135.wav,B,1.6097560975608758,1.6097560975608758,B,True
20260510_223607_9,8,True,6,AMBIG_AMBIG,death_whistle,audio/death_whistle_135.wav,audio/death_whistle_225.wav,A,1.6585365853657095,1.6585365853657095,B,False
20260510_223607_9,8,True,7,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,B,1.3658536585367074,1.3658536585367074,B,True
20260510_223607_9,8,True,8,AMBIG_DIST,bear,audio/bear_270.wav,audio/bear_0.wav,B,1.26829268292704,1.26829268292704,B,True
20260510_223607_9,8,True,9,AMBIG_AMBIG,zombie,audio/zombie_135.wav,audio/zombie_45.wav,A,1.4878048780487916,1.4878048780487916,B,False
20260510_223607_9,8,True,10,AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_0.wav,A,0.7073170731705432,0.7073170731705432,B,False
20260510_223607_9,8,True,11,DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,B,1.4878048780487916,1.4878048780487916,B,True
20260510_223607_9,8,True,12,AMBIG_DIST,bear,audio/bear_315.wav,audio/bear_270.wav,A,0.6097560975608758,0.6097560975608758,B,False
20260510_223607_9,8,True,13,AMBIG_DIST,scream,audio/scream_180.wav,audio/scream_270.wav,A,1.560975609756042,1.560975609756042,B,False
20260510_223607_9,8,True,14,AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_225.wav,A,1.73170731707296,1.6829268292681263,A,True
20260510_224329_10,9,True,1,PRIMING,mixed,audio/zombie_315.wav,audio/tiger_315.wav,A,1.5121951219512084,1.5121951219512084,B,False
20260510_224329_10,9,True,2,PRIMING,mixed,audio/white_noise_135.wav,audio/tiger_135.wav,A,1.560975609756042,1.560975609756042,B,False
20260510_224329_10,9,True,3,AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_45.wav,B,1.5365853658536253,1.5365853658536253,B,True
20260510_224329_10,9,True,4,AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_135.wav,B,1.4634146341463747,0.46341463414637474,A,False
20260510_224329_10,9,True,5,AMBIG_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_45.wav,A,0.6097560975608758,0.6097560975608758,B,False
20260510_224329_10,9,True,6,AMBIG_DIST,scream,audio/scream_90.wav,audio/scream_135.wav,B,0.6097560975608758,1.5,B,True
20260510_224329_10,9,True,7,AMBIG_DIST,scream,audio/scream_225.wav,audio/scream_270.wav,A,0.585365853658459,0.585365853658459,B,False
20260510_224329_10,9,True,8,DIST_DIST,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,0.4878048780487916,0.4878048780487916,B,False
20260510_224329_10,9,True,9,AMBIG_DIST,bear,audio/bear_45.wav,audio/bear_270.wav,A,0.7804878048782484,0.7804878048782484,B,False
20260510_224329_10,9,True,10,DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,A,0.5365853658536253,0.5365853658536253,B,False
20260510_224329_10,9,True,11,AMBIG_AMBIG,scream,audio/scream_180.wav,audio/scream_225.wav,B,0.5121951219512084,1.560975609756042,B,True
20260510_224329_10,9,True,12,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A,1.7804878048782484,1.7804878048782484,B,False
20260510_224329_10,9,True,13,AMBIG_AMBIG,white_noise,audio/white_noise_135.wav,audio/white_noise_45.wav,A,0.4878048780487916,0.4878048780487916,B,False
20260510_224329_10,9,True,14,AMBIG_AMBIG,death_whistle,audio/death_whistle_225.wav,audio/death_whistle_135.wav,B,0.8048780487806653,1.7073170731705432,B,True
20260510_225139_11,10,False,1,PRIMING,mixed,audio/death_whistle_90.wav,audio/bear_90.wav,A,,,,
20260510_225139_11,10,False,2,PRIMING,mixed,audio/scream_135.wav,audio/zombie_135.wav,A,,,,
20260510_225139_11,10,False,3,DIST_DIST,zombie,audio/zombie_90.wav,audio/zombie_270.wav,A,,,,
20260510_225139_11,10,False,4,AMBIG_DIST,white_noise,audio/white_noise_0.wav,audio/white_noise_90.wav,A,,,,
20260510_225139_11,10,False,5,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A,,,,
20260510_225139_11,10,False,6,AMBIG_DIST,zombie,audio/zombie_90.wav,audio/zombie_135.wav,B,,,,
20260510_225139_11,10,False,7,AMBIG_AMBIG,tiger,audio/tiger_135.wav,audio/tiger_225.wav,B,,,,
20260510_225139_11,10,False,8,AMBIG_DIST,scream,audio/scream_45.wav,audio/scream_270.wav,A,,,,
20260510_225139_11,10,False,9,AMBIG_DIST,bear,audio/bear_135.wav,audio/bear_270.wav,A,,,,
20260510_225139_11,10,False,10,AMBIG_AMBIG,white_noise,audio/white_noise_135.wav,audio/white_noise_45.wav,A,,,,
20260510_225139_11,10,False,11,AMBIG_AMBIG,tiger,audio/tiger_0.wav,audio/tiger_135.wav,B,,,,
20260510_225139_11,10,False,12,AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_0.wav,B,,,,
20260510_225139_11,10,False,13,AMBIG_DIST,scream,audio/scream_135.wav,audio/scream_90.wav,A,,,,
20260510_225139_11,10,False,14,DIST_DIST,tiger,audio/tiger_270.wav,audio/tiger_90.wav,B,,,,
20260510_225242_12,11,False,1,PRIMING,mixed,audio/zombie_225.wav,audio/tiger_225.wav,A,,,,
20260510_225242_12,11,False,2,PRIMING,mixed,audio/tiger_270.wav,audio/white_noise_270.wav,B,,,,
20260510_225242_12,11,False,3,DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A,,,,
20260510_225242_12,11,False,4,AMBIG_DIST,scream,audio/scream_0.wav,audio/scream_270.wav,A,,,,
20260510_225242_12,11,False,5,AMBIG_DIST,scream,audio/scream_45.wav,audio/scream_270.wav,A,,,,
