analysis,n,k_ambiguous,p_ambiguous,ci_low,ci_high,binom_p_greater,effect_vs_chance
overall_mixed_clean,113,92,0.8141592920353983,0.7325464260042304,0.8751138593735804,4.346674118101344e-12,0.3141592920353983
sound_group_scary,94,77,0.8191489361702128,0.7293285364486144,0.8839075512686756,1.3523211583732052e-10,0.3191489361702128
sound_group_white_noise,19,15,0.7894736842105263,0.5666528575973392,0.9149246150840843,0.00960540771484375,0.2894736842105263
