,coef,odds_ratio,ci_low_odds,ci_high_odds,p_value
Intercept,1.510592077797467,4.52941176470588,2.6788053814986,7.658477572110534,1.72972099252065e-08
C(sound_group)[T.white_noise],-0.18883623781514736,0.8279220779220787,0.2440355391792183,2.8088325553575144,0.7619111612407736
