participant,participant_index,has_gsr,trial,type,sound,sound_group,file_A,file_B,choice,A_angle,B_angle,A_kind,B_kind,pair_class,trial_type_matches_inferred,chosen_side,chosen_angle,chosen_is_ambiguous,A_delta,B_delta,phys_choice,match,A_z,B_z,gsr_diff_z,ambig_minus_discrete_z,gsr_choice,gsr_match_z,participant_gsr_mean,participant_gsr_std
20260430_235916_2,1,True,4,AMBIG_DIST,white_noise,white_noise,audio/white_noise_315.wav,audio/white_noise_90.wav,A,315,90,ambiguous,discrete,AMBIG_DIST,True,A,315,1,3.9672131147540313,3.9672131147540313,B,0.0,-1.1377331182951445,-1.1377331182951445,0.0,0.0,B,0.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,5,AMBIG_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_45.wav,B,270,45,discrete,ambiguous,AMBIG_DIST,True,B,45,1,6.885245901639337,6.885245901639337,B,1.0,0.6261283541395236,0.6261283541395236,0.0,0.0,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,6,AMBIG_AMBIG,zombie,scary,audio/zombie_225.wav,audio/zombie_180.wav,B,225,180,ambiguous,ambiguous,AMBIG_AMBIG,True,B,180,1,7.671428571428578,7.671428571428578,B,1.0,1.1013517059022173,1.1013517059022173,0.0,0.0,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,8,AMBIG_AMBIG,scream,scary,audio/scream_135.wav,audio/scream_0.wav,B,135,0,ambiguous,ambiguous,AMBIG_AMBIG,True,B,0,1,9.180327868852373,9.180327868852373,B,1.0,2.0134351302116587,2.0134351302116587,0.0,0.0,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,9,AMBIG_DIST,bear,scary,audio/bear_90.wav,audio/bear_180.wav,A,90,180,discrete,ambiguous,AMBIG_DIST,True,A,90,0,3.688524590163979,3.688524590163979,B,0.0,-1.3061917982466988,-1.3061917982466988,0.0,0.0,B,0.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,10,AMBIG_DIST,death_whistle,scary,audio/death_whistle_135.wav,audio/death_whistle_90.wav,A,135,90,ambiguous,discrete,AMBIG_DIST,True,A,135,1,6.426229508196684,6.426229508196684,B,0.0,0.34866699892506914,0.34866699892506914,0.0,0.0,B,0.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,11,AMBIG_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_225.wav,B,270,225,discrete,ambiguous,AMBIG_DIST,True,B,225,1,6.442622950819668,6.442622950819668,B,1.0,0.3585763330398907,0.3585763330398907,0.0,0.0,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,12,AMBIG_DIST,tiger,scary,audio/tiger_270.wav,audio/tiger_0.wav,B,270,0,discrete,ambiguous,AMBIG_DIST,True,B,0,1,5.34426229508199,5.34426229508199,B,1.0,-0.3053490526517808,-0.3053490526517808,0.0,0.0,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,13,DIST_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,B,270,90,discrete,discrete,DIST_DIST,True,B,90,0,3.5409836065573472,3.5409836065573472,B,1.0,-1.3953758052799556,-1.3953758052799556,0.0,,B,1.0,5.849414519906304,1.6543435142089296
20260430_235916_2,1,True,14,DIST_DIST,zombie,scary,audio/zombie_270.wav,audio/zombie_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,5.524590163934363,5.524590163934363,B,0.0,-0.1963463773890183,-0.1963463773890183,0.0,,B,0.0,5.849414519906304,1.6543435142089296
20260501_001734_3,2,True,2,PRIMING,mixed,other,audio/bear_0.wav,audio/scream_0.wav,B,0,0,ambiguous,ambiguous,AMBIG_AMBIG,,B,0,1,5.536585365853625,5.536585365853625,B,1.0,-0.6072572140469029,-0.6072572140469029,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,3,AMBIG_DIST,tiger,scary,audio/tiger_45.wav,audio/tiger_90.wav,B,45,90,ambiguous,discrete,AMBIG_DIST,True,B,90,0,10.195121951219562,10.195121951219562,B,1.0,1.8666060549906958,1.8666060549906958,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,4,AMBIG_AMBIG,zombie,scary,audio/zombie_180.wav,audio/zombie_225.wav,B,180,225,ambiguous,ambiguous,AMBIG_AMBIG,True,B,225,1,7.463414634146375,7.463414634146375,B,1.0,0.4159637192199743,0.4159637192199743,0.0,0.0,B,1.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,5,DIST_DIST,white_noise,white_noise,audio/white_noise_270.wav,audio/white_noise_90.wav,A,270,90,discrete,discrete,DIST_DIST,True,A,270,0,6.121951219512084,6.121951219512084,B,0.0,-0.29640528495322,-0.29640528495322,0.0,,B,0.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,6,AMBIG_DIST,zombie,scary,audio/zombie_0.wav,audio/zombie_270.wav,A,0,270,ambiguous,discrete,AMBIG_DIST,True,A,0,1,3.6829268292683537,3.6829268292683537,B,0.0,-1.5916216561769791,-1.5916216561769791,0.0,0.0,B,0.0,6.680112570356493,1.8831018850844723
20260501_001734_3,2,True,7,DIST_DIST,death_whistle,scary,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A,90,270,discrete,discrete,DIST_DIST,True,A,90,0,8.390243902439124,11.414634146341541,B,0.0,0.9081459402850728,2.5142142406026355,-1.6060683003175629,,B,0.0,6.680112570356493,1.8831018850844723
