trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/white_noise_135.wav,audio/scream_135.wav,B
PRIMING,mixed,audio/tiger_180.wav,audio/scream_180.wav,B
DIST_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_270.wav,B
AMBIG_DIST,scream,audio/scream_270.wav,audio/scream_225.wav,B
AMBIG_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_135.wav,B
DIST_DIST,tiger,audio/tiger_90.wav,audio/tiger_270.wav,A
AMBIG_DIST,tiger,audio/tiger_225.wav,audio/tiger_270.wav,A
DIST_DIST,death_whistle,audio/death_whistle_270.wav,audio/death_whistle_90.wav,B
AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_0.wav,B
AMBIG_AMBIG,zombie,audio/zombie_225.wav,audio/zombie_315.wav,A
AMBIG_DIST,death_whistle,audio/death_whistle_315.wav,audio/death_whistle_90.wav,A
AMBIG_AMBIG,death_whistle,audio/death_whistle_0.wav,audio/death_whistle_45.wav,A
AMBIG_DIST,zombie,audio/zombie_0.wav,audio/zombie_270.wav,A
AMBIG_AMBIG,death_whistle,audio/death_whistle_135.wav,audio/death_whistle_225.wav,B
