trial_type,sound,file_A,file_B,choice
PRIMING,mixed,audio/bear_315.wav,audio/zombie_315.wav,B
PRIMING,mixed,audio/scream_315.wav,audio/zombie_315.wav,A
AMBIG_DIST,tiger,audio/tiger_0.wav,audio/tiger_270.wav,A
AMBIG_DIST,white_noise,audio/white_noise_90.wav,audio/white_noise_135.wav,B
DIST_DIST,scream,audio/scream_270.wav,audio/scream_90.wav,B
AMBIG_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_315.wav,B
DIST_DIST,death_whistle,audio/death_whistle_90.wav,audio/death_whistle_270.wav,A
AMBIG_AMBIG,zombie,audio/zombie_135.wav,audio/zombie_315.wav,B
AMBIG_AMBIG,death_whistle,audio/death_whistle_180.wav,audio/death_whistle_315.wav,A
AMBIG_DIST,scream,audio/scream_225.wav,audio/scream_90.wav,A
DIST_DIST,bear,audio/bear_90.wav,audio/bear_270.wav,A
AMBIG_AMBIG,bear,audio/bear_225.wav,audio/bear_45.wav,B
AMBIG_DIST,scream,audio/scream_0.wav,audio/scream_270.wav,B
AMBIG_DIST,zombie,audio/zombie_270.wav,audio/zombie_45.wav,A
